City,Long,Lat,Longg,,,,,,,,,,,,Point x
ANAHUAC                  1 ENE,-94.66,29.78,-94.66,0.56,,,,,,,,,,,0.56
Anahuac Ditch at Hwy 563,-94.6733,29.75,-94.6733,1.22,4.85,11.26,13.22,10.71,0.2,0,,,,,41.46
Anderson Mill 0.9 WNW,-97.8197,30.46,-97.8197,,0.97,2.2,0.76,,,,,,,,3.93
Anderson Mill 1 SE,-97.8,30.44,-97.8,Aug 25-28 12z,,,,,,,,,,,5.45
Anderson Mill 1 SW,-97.82,30.44,-97.82,Aug 25-28 12z,,,,,,,,,,,5.84
Anderson Mill 1.1 ENE,-97.788,30.46,-97.788,,0.65,2.93,,,,,,,,,3.58
Anderson Mill 2 SSE,-97.8,30.42,-97.8,Aug 25-28 12z,,,,,,,,,,,7.1
Anderson Mill 2.2 S,-97.8062,30.42,-97.8062,0.49,1.47,4.3,1.23,0.02,0,0,0,,,,7.51
Anderson Mill 3 WSW,-97.84,30.44,-97.84,Aug 25-28 12z,,,,,,,,,,,3.99
Anderson Mill 5 SSW,-97.82,30.42,-97.82,Aug 25-28 12z,,,,,,,,,,,4.99
Andice 1.6 SW,-97.857,30.76,-97.857,0.03,0.25,1.51,0.85,0,0,0,0,,,,2.64
Andice 2 NE,-97.77,30.86,-97.77,Aug 25-28 12z,,,,,,,,,,,2.37
ANGLETON                10 SW ,-95.29,29.14,-95.29,0.33,8.05,3.77,2.37,6.37,0.8,0,,,,,21.69
Angleton 1.3 E,-95.4068,29.17,-95.4068,2.13,7.16,3.46,3.3,4.92,0,0,0,,,,20.97
ANGLETON/LAKE JACKSON         ,-95.46,29.11,-95.46,2.02,5.61,2.34,2.45,5.91,0.16,,,,,,18.49
Anna 0.3 SW,-96.5525,33.35,-96.5525,,0.05,0.03,,,,,,,,,0.08
Anna 3.7 SSW,-96.5827,33.31,-96.5827,0,0.01,0.12,0.01,0,0,0,0,,,,0.14
ANSON                         ,-99.89,32.77,-99.89,,,0,,,,,,,,,0
ANTELOPE                      ,-98.37,33.44,-98.37,,,0,0,0,,,,,,,0
Anthony 1.0 ENE,-106.575,32,-106.575,0,0,0,0,0,0,0,0,,,,0
AQUILLA                  2 S  ,-97.21,31.84,-97.21,0.15,0,1.03,0,0,0,,,,,,1.18
Aquilla 1.3 NNE,-97.217,31.87,-97.217,0.21,0.16,0.8,0.01,0,0,0,,,,,1.18
Aransas  ,-96.8234,28.3,-96.8234,,,,,,,,,,,,15.33
Aransas Pass,-97.1222,27.96,-97.1222,,,Partial,,,,,,,,,6
Aransas National Estuarine Research Reserve,-97.0344,28.13,-97.0344,,,,,,,,,,,,12.38
ARCHER CITY                   ,-98.64,33.59,-98.64,,,,0,0,,,,,,,0
ARCHER CITY              5 N  ,-98.61,33.66,-98.61,,,0,0,0,,,,,,,0
Argyle 1.6 NNW,-97.1932,33.13,-97.1932,0.01,0.01,0.03,0.02,0.04,0,0,0,,,,0.11
ARLINGTON                     ,-97.13,32.74,-97.13,,,0.1,0.7,0.05,0.03,,,,,,0.88
ARLINGTON                     ,-97.09,32.66,-97.09,,,,0,0.1,0,,,,,,0.1
Arlington 3.8 NNW,-97.1583,32.74,-97.1583,,0,0.03,0.12,,,,,,,,0.15
Armand Bayou @ Beltway 8,-95.1835,29.68,-95.1835,1,11.52,15.88,10.12,4.84,0,0,,,,,43.36
Armand Bayou @ Genoa-Red Bluff Road,-95.1145,29.63,-95.1145,1,8.36,18.6,9.76,4.56,0,0,,,,,42.28
Armand Bayou @ Pasadena Lake (Nasa Road 1),-95.0708,29.56,-95.0708,1.68,5.52,20.68,10.12,3.52,0.04,0,,,,,41.56
ARMSTRONG                4 SE ,-97.71,26.83,-97.71,0.51,,0,0,0,,,,,,,0.51
Arp 5.9 NNW,-95.0982,32.31,-95.0982,,0.04,0.3,0.04,0,0,0,0,,,,0.38
Artesia Wells 14.0 SE,-99.0678,28.24,-99.0678,,0,0.01,,,,,,,,,0.01
ARTHUR CITY                   ,-95.5,33.88,-95.5,,,0,0,1.25,0.01,0,,,,,1.26
ARTHUR CITY              3 WSW,-95.54,33.85,-95.54,,,0,0,1,0,0,,,,,1
ASPERMONT                1 E  ,-100.23,33.15,-100.23,,,0,0,,,,,,,,0
ASPERMONT                3 NE ,-100.2,33.17,-100.2,,,0,0,,,,,,,,0
Atascosa 2.3 NE,-98.7069,29.29,-98.7069,,0.41,0.36,,,,,,,,,0.77
ATHENS                   3 SSE,-95.83,32.16,-95.83,,,0.19,0.03,0,0,0,,,,,0.22
ATHENS                   5 ENE,-95.77,32.22,-95.77,,,0.21,0.07,0,0,0,,,,,0.28
Athens 10.1 SSW,-95.9309,32.07,-95.9309,0,0.04,0.37,0.02,0,0,0.02,0,,,,0.45
ATLANTA                       ,-94.17,33.12,-94.17,,,,0,0,0,0.21,,,,,0.21
Atlanta 0.3 E,-94.1598,33.12,-94.1598,0,0,0,0,0,0,0.19,0,,,,0.19
Atlanta 14.1 SSE,-94.0454,32.94,-94.0454,,,,,,,0.74,,,,,0.74
Aubrey 2.9 SW,-97.0148,33.27,-97.0148,,0.03,0.06,,,,,,,,,0.09
Aubrey 5.9 SSE,-96.9433,33.23,-96.9433,,,,0,,,,,,,,0
AUSTIN                        ,-97.69,30.24,-97.69,0.13,1.18,6.78,1.72,0.01,0,,,,,,9.82
AUSTIN                        ,-97.77,30.26,-97.77,,0.04,,,,,,,,,,0.04
AUSTIN                        ,-97.8,30.35,-97.8,0,0.77,4.79,1.28,0.01,0,,,,,,6.85
AUSTIN                        ,-97.9,30.39,-97.9,0.07,0.67,3.19,0.84,0.01,0,,,,,,4.78
AUSTIN                        ,-97.72,30.25,-97.72,0.03,1.3,7.58,1.84,0,0,,,,,,10.75
AUSTIN                        ,-97.65,30.28,-97.65,0.22,1.13,6.14,1.8,0.01,0,,,,,,9.3
AUSTIN                   4 SW ,-97.8,30.24,-97.8,0,1.02,5.45,1.26,0,0,,,,,,7.73
AUSTIN                   7 NW ,-97.79,30.37,-97.79,0,0.86,4.48,1.26,0.02,0,,,,,,6.62
AUSTIN                   8 SSE,-97.7,30.17,-97.7,0,1.5,7.95,1.52,0.03,,,,,,,11
AUSTIN                  10 NW ,-97.87,30.35,-97.87,0.01,0.64,4.56,1.04,0.01,0,,,,,,6.26
AUSTIN                  11 NW ,-97.93,30.33,-97.93,0.01,0.58,3.61,0.72,0,0,,,,,,4.92
AUSTIN                  16 NW ,-97.96,30.37,-97.96,0.05,0.54,3.38,0.88,0,0,,,,,,4.85
AUSTIN                  25 NW ,-97.98,30.46,-97.98,0.17,0.55,2.9,1.07,0,0,,,,,,4.69
Austin 0.8 WSW,-97.7629,30.3,-97.7629,,0.87,4.38,1.34,,,,,,,,6.59
Austin 1 ENE,-97.72,30.28,-97.72,Aug 25-28 12z,,,,,,,,,,,3.31
Austin 1.0 N(45th&ShCrk),-97.7502,30.32,-97.7502,0.04,0.94,5.37,1.68,0.02,0,0,0,,,,8.05
Austin 1.0 NNE,-97.7438,30.32,-97.7438,0.03,0.9,4.6,1.29,0.03,0,0,0,,,,6.85
Austin 1.6 NE,-97.7346,30.32,-97.7346,0,1.81,4.68,1.48,0,0,0,0,,,,7.97
Austin 1.7 NNW(45th&Lp1),-97.7621,30.33,-97.7621,,1.58,4.75,1.62,0,0,0,0,,,,7.95
Austin 10.0 NNW (GrtHills),-97.7664,30.41,-97.7664,0.04,1.52,3.29,1.31,0.03,0,0,0,,,,6.19
Austin 10.5 N,-97.7578,30.42,-97.7578,0.06,0.85,4.68,1.56,0.03,0,,,,,,7.18
Austin 10.8 WSW,-97.9022,30.2,-97.9022,0,0.53,4.58,1.13,0.02,0,0,0,,,,6.26
Austin 13.7 WNW,-97.9331,30.38,-97.9331,,0.72,3.23,0.97,,,,,,,,4.92
Austin 14.7 WSW,-97.9747,30.2,-97.9747,0.15,1.03,5.81,1.24,0.02,,,,,,,8.25
Austin 2 NNE,-97.73,30.29,-97.73,Aug 25-28 12z,,,,,,,,,,,7.08
Austin 2 NW,-97.76,30.29,-97.76,Aug 25-28 12z,,,,,,,,,,,5.72
Austin 2.2 NNE,-97.7327,30.33,-97.7327,,5.8,2,0.8,,,,,,,,8.6
Austin 2.6 ENE,-97.7122,30.32,-97.7122,0.03,,,,,0,0,0,,,,0.03
Austin 2.9 NE(Lamar&Arpt),-97.7228,30.34,-97.7228,0.09,3.27,4.57,0.91,0.01,0,0,0,,,,8.85
Austin 2.9 NNW,-97.7762,30.34,-97.7762,0.02,0.82,4.64,1.51,0.03,0,0,0,,,,7.02
Austin 3 NNE,-97.73,30.3,-97.73,Aug 25-28 12z,,,,,,,,,,,6.22
Austin 3 SE,-97.71,30.23,-97.71,Aug 25-28 12z,,,,,,,,,,,2.9
Austin 3.9 NNE,-97.7236,30.36,-97.7236,0.28,1.03,6.12,2.05,0.02,0,0,0,,,,9.5
Austin 4 NE,-97.69,30.32,-97.69,Aug 25-28 12z,,,,,,,,,,,4.68
Austin 4 SSE,-97.73,30.25,-97.73,Aug 25-28 12z,,,,,,,,,,,10.68
Austin 4.0 SSE,-97.7262,30.25,-97.7262,,0.83,3.7,1.32,0.07,,,,,,,5.92
Austin 4.1 SSW,-97.7785,30.25,-97.7785,0,1.08,4.81,1.33,0,0,,,,,,7.22
Austin 4.1 SW,-97.794,30.23,-97.794,0,1.8,5.2,1.46,,,,,,,,8.46
Austin 4.2 ESE,-97.6813,30.29,-97.6813,0.19,2.22,5.44,2.05,,,,,,,,9.9
Austin 4.2 NW(360&Penneb),-97.7947,30.35,-97.7947,0,1.26,3.56,1.34,0,0,0,0,,,,6.16
Austin 4.5 ENE,-97.6772,30.32,-97.6772,0.02,2.18,4.79,1.55,0.02,0,0,0,,,,8.56
Austin 4.5 NNE,-97.7313,30.37,-97.7313,0.03,1.5,5.06,1.99,0.03,0,0,0,,,,8.61
Austin 4.7 E(JordanPk),-97.6728,30.31,-97.6728,0.06,1.72,4.47,1.58,0,0,0,0,,,,7.83
Austin 4.7 NNE,-97.7328,30.37,-97.7328,0,1.51,4.68,1.87,0.02,,,,,,,8.08
Austin 5 NNW,-97.75,30.34,-97.75,Aug 25-28 12z,,,,,,,,,,,6.6
Austin 5.6 WSW,-97.8392,30.28,-97.8392,0,1.41,5.11,1.34,0.01,0,0,0,,,,7.87
Austin 5.8 ENE,-97.6619,30.34,-97.6619,0.1,,,,,,,,,,,0.1
Austin 5.8 ESE,-97.6694,30.26,-97.6694,,,7.71,,,,,,,,,7.71
Austin 5.9 NW,-97.8134,30.37,-97.8134,0.17,0.88,2.65,0.88,0.03,0,0,0,,,,4.61
Austin 6.5 NE,-97.6895,30.38,-97.6895,0.11,1.83,5.01,1.98,0.02,,,,,,,8.95
Austin 7.3 SW,-97.844,30.21,-97.844,,1.06,6.6,1.44,,,,,,,,9.1
Austin 7.6 W,-97.8775,30.3,-97.8775,0,0.93,3.49,0.98,0.01,0,0,0,,,,5.41
Austin 7.7 SW,-97.848,30.23,-97.848,,1.45,5.85,1.3,0.03,,,,,,,8.63
Austin 7.8 SW,-97.8476,30.23,-97.8476,,1.71,5.82,1.42,,,,,,,,8.95
Austin 7.9 N,-97.7757,30.42,-97.7757,0,,,,,,,,,,,0
Austin 8.2 WSW,-97.8739,30.23,-97.8739,,1.1,5.61,1.25,0.03,,,,,,,7.99
Austin 8.5 NNW,-97.805,30.42,-97.805,0,1.61,4.05,1.22,0.03,,,,,,,6.91
Austin 9.0 SW,-97.8668,30.22,-97.8668,,2.06,3.29,0.94,,,0,,,,,6.29
Austin 9.7 WSW,-97.9013,30.24,-97.9013,,1.33,4.44,0.92,,,,,,,,6.69
Austin 9.8 WSW,-97.8962,30.24,-97.8962,0,0.89,5.17,1.21,0.03,,,,,,,7.3
AUSTIN Bergstrom Int'l AP          ,-97.68,30.18,-97.68,0,1.24,7,1.83,0,0,,,,,,10.07
AUSTIN City      ,-97.7,30.3,-97.7,0.02,0.94,5.39,1.6,0.01,0,,,,,,7.96
AUSTIN GREAT HILLS            ,-97.77,30.42,-97.77,,,4.78,1.31,0.03,0,,,,,,6.12
AUSTWELL                      ,-96.84,28.39,-96.84,0.65,,,,,,,,,,,0.65
Austwell 0.3 ESE,-96.8382,28.39,-96.8382,0.65,,,,,,,,,,,0.65
Avinger 6.6 S,-94.5502,32.8,-94.5502,,,,,0,0,0.31,0,,,,0.31
Axtell 1.9 SW,-96.992,31.64,-96.992,0,0.01,0.56,0.1,0,0,0,0,,,,0.67
Bacliff 0.5 SSE,-94.9898,29.5,-94.9898,0.71,2.16,21.62,3.09,10.56,2.35,0,0,,,,40.49
Bacliff 1.2 E,-94.9727,29.51,-94.9727,,7.25,11.5,3.15,9.34,,,,,,,31.24
Baird 0.1 WNW,-99.3967,32.4,-99.3967,0.59,0.09,,,,,,,,,,0.68
BALCONES                      ,-98.04,30.57,-98.04,0.44,0.17,1.92,0.9,0,,,,,,,3.43
BALLINGER                3 NW ,-98.98,31.74,-98.98,0.02,0.1,0,0,,,,,,,,0.12
Bandera 0.2 N,-99.0735,29.73,-99.0735,0,0,0.22,0.02,0,0,0,0,,,,0.24
Bandera 3.2 W,-99.1262,29.72,-99.1262,0,0.25,0.11,0.04,0,0,,,,,,0.4
Bandera 4.0 E,-99.0073,29.73,-99.0073,0,0.03,0.36,0.01,0,0,0,0,,,,0.4
Bandera 4.0 NNW,-99.1063,29.78,-99.1063,0,0.2,0.22,0.05,0,0,0,0,,,,0.47
Bandera 4.7 NE,-99.0161,29.77,-99.0161,0,0.07,0.51,0.02,0,0,0,0,,,,0.6
Bandera 5.2 E,-98.988,29.72,-98.988,0,0.05,0.3,0.01,0,0,0,0,,,,0.36
Bandera 6.4 N,-99.0839,29.82,-99.0839,0.54,0.17,0.18,,,,,,,,,0.89
Bandera 6.5 NW,-99.1434,29.8,-99.1434,,0.22,0.28,0,0,0,0,0,,,,0.5
Bandera 7.4 ENE,-98.9652,29.78,-98.9652,,,0.75,0.05,,,,,,,,0.8
Bandera 8.4 NE,-98.9632,29.8,-98.9632,,,,0,0,0,0,0,,,,0
Bandera 8.6 NNW,-99.1191,29.84,-99.1191,0.05,0.3,0.4,,,,,0,,,,0.75
Bankersmith,-98.82,30.13,-98.82,Aug 25-28 12z,,,,,,,,,,,1.52
Bankersmith 8 WNW,-98.93,30.2,-98.93,Aug 25-28 12z,,,,,,,,,,,1.29
BARDWELL                      ,-96.65,32.25,-96.65,,,0.23,0.18,0,,,,,,,0.41
Barker Dam,-95.6468,29.77,-95.6468,1.2,8.92,17.16,7.4,1.8,0,0,,,,,36.48
BARNHART                10 S  ,-101.16,30.99,-101.16,,,0.01,0,,,,,,,,0.01
Bartlett 4 WSW,-97.47,30.77,-97.47,Aug 25-28 12z,,,,,,,,,,,4.46
Bartlett 5.0 W,-97.5162,30.79,-97.5162,0,0.23,3.17,1.79,0.03,0,0,0,,,,5.22
BASTROP                       ,-97.31,30.04,-97.31,0.5,2.23,13.94,3.39,0.1,0,,,,,,20.16
Bastrop 0.6 WNW,-97.3149,30.12,-97.3149,0.21,3.47,11,2.3,0,0,0,0,,,,16.98
Bastrop 1 WSW,-97.33,30.1,-97.33,Aug 25-28 12z,,,,,,,,,,,16.4
Bastrop 1.0 WNW,-97.3226,30.12,-97.3226,,,,,,,0,0,,,,0
Bastrop 1.2 N,-97.3025,30.13,-97.3025,0.25,2.2,12.96,2.96,0.03,0,0,0,,,,18.4
Bastrop 1.5 NW,-97.3353,30.11,-97.3353,0.44,6.14,8.72,1.42,,0,0,0,,,,16.72
Bastrop 2.1 SSW,-97.3173,30.08,-97.3173,,3.3,9.13,2.89,0.02,,,,,,,15.34
Bastrop 2.4 WNW,-97.3437,30.12,-97.3437,0.78,2.39,11.19,2.56,0.07,0,0,0,,,,16.99
Bastrop 3.0 SSE,-97.2837,30.07,-97.2837,,3.5,13.4,2.6,,0,0,0,,,,19.5
Bastrop 4.4 NE,-97.245,30.15,-97.245,0.05,3.35,9.5,3.1,0,0,0,0,,,,16
Bastrop 4.7 NE,-97.2553,30.17,-97.2553,,3.5,10.86,3.11,0.02,0,0,,,,,17.49
Bastrop 5 S,-97.32,30.03,-97.32,Aug 25-28 12z,,,,,,,,,,,19.62
Bastrop 5.1 NE,-97.2498,30.17,-97.2498,,10.1,5.22,1.65,0.02,0,0,0,,,,16.99
Bastrop 5.2 SE,-97.2496,30.05,-97.2496,0,3.35,10.7,3.84,0.03,0,0,0,,,,17.92
Bastrop 5.7 NE,-97.2373,30.17,-97.2373,0,3.4,10.61,3.3,0,,,,,,,17.31
Bastrop 5.7 SW,-97.359,30.04,-97.359,0.39,2.13,12.97,3.75,0.02,0,0,0,,,,19.26
Bastrop 5.8 NE,-97.2327,30.17,-97.2327,0.02,7.32,6.63,3.18,0,0,0,0,,,,17.15
Bastrop 7.2 N,-97.3284,30.22,-97.3284,0,2.87,5.16,2.42,0.05,0,0,0,,,,10.5
Bastrop 7.6 N,-97.3242,30.22,-97.3242,0,2.97,7.58,2.85,0.07,0,0,0,,,,13.47
Bastrop/Cedar Creek,-97.5,30.09,-97.5,Aug 25-28 12z,,,,,,,,,,,15.25
Batiste Creek @ State Highway 770 (Hull),-94.6428,30.16,-94.6428,0.27,3.19,11.97,7.32,8.82,1.89,0,,,,,33.46
Batson 2 ENE,-94.58,30.25,-94.58,Aug 24-Sep 1 12z,,,,,,,,,,,33.07
BAY CITY                      ,-96.01,28.94,-96.01,0.86,8.45,5.36,0.49,7.94,0.01,0,,,,,23.11
Baytown 2 NW,-95,29.77,-95,Aug 25-31 12z,,,,,,,,,,,42.9
Baytown 4 E,-94.97,29.74,-94.97,Aug 25-31 12z,,,,,,,,,,,42.72
Bayview 2.9 N,-97.3983,26.17,-97.3983,0.54,,0.3,,,,,,,,,0.84
Beamer Ditch @ Hughes Road,-95.2221,29.59,-95.2221,1.64,13.52,13.4,8.28,3.16,0,0,,,,,40
Bear Creek @ Clay Road,-95.6871,29.83,-95.6871,0.84,8.72,16.28,5.16,1.48,0,0,,,,,32.48
Bear Creek @ FM 529,-95.7695,29.88,-95.7695,0.76,9.24,17.64,4,1.32,0,0,,,,,32.96
Beaumont,-94.14,30.08,-94.14,Aug 24-Sep 1 12z,,,,,,,,,,,41.42
Beaumont,-94.14,30.08,-94.14,Aug 24-Sep 1 12z,,,,,,,,,,,38.86
BEAUMONT                      ,-94.1,30.1,-94.1,0.05,0.55,4.95,10.18,4.6,14.5,,,,,,34.83
BEAUMONT                10 W  ,-94.28,30.07,-94.28,0.05,,,,,,,,,,,0.05
Beaumont 1 ENE,-94.13,30.09,-94.13,Aug 24-Sep 1 12z,,,,,,,,,,,38.5
Beaumont 1 NW,-94.16,30.09,-94.16,Aug 24-Sep 1 12z,,,,,,,,,,,41.5
Beaumont 2 NNW,-94.16,30.11,-94.16,Aug 24-Sep 1 12z,,,,,,,,,,,36.22
Beaumont 2 SE,-94.12,30.06,-94.12,Aug 24-Sep 1 12z,,,,,,,,,,,41.42
Beaumont 2 SW,-94.17,30.06,-94.17,Aug 24-Sep 1 12z,,,,,,,,,,,43.23
Beaumont 2 W,-94.18,30.08,-94.18,Aug 24-Sep 1 12z,,,,,,,,,,,41.93
Beaumont 3 N,-94.14,30.13,-94.14,Aug 24-Sep 1 12z,,,,,,,,,,,39.76
Beaumont 3 NE,-94.11,30.11,-94.11,Aug 24-Sep 1 12z,,,,,,,,,,,39.65
Beaumont 3.3 SW,-94.182,30.05,-94.182,0.18,1.34,5.86,12.38,11.32,,1.72,0,,,,32.8
Beaumont 4 NNW,-94.17,30.14,-94.17,Aug 24-Sep 1 12z,,,,,,,,,,,39.8
Beaumont 4 S,-94.14,30.02,-94.14,Aug 24-Sep 1 12z,,,,,,,,,,,49.06
Beaumont 4 SW,-94.19,30.04,-94.19,Aug 24-Sep 1 12z,,,,,,,,,,,43.78
Beaumont 4 WSW,-94.21,30.06,-94.21,Aug 24-Sep 1 12z,,,,,,,,,,,46.54
Beaumont 4.6 S,-94.1555,30.02,-94.1555,0,0.86,9.81,7.52,11,15.31,1,0,,,,45.5
Beaumont 5 NNW,-94.18,30.15,-94.18,Aug 24-Sep 1 12z,,,,,,,,,,,41.3
Beaumont 6 SSW,-94.18,30,-94.18,Aug 24-Sep 1 12z,,,,,,,,,,,46.38
Beaumont Yacht Club @ Neches River,-94.0911,30.1,-94.0911,0.36,3.11,8.93,5.59,17.41,6.02,0,,,,,41.42
Bedford 0.5 W,-97.1421,32.85,-97.1421,0.01,0,0.17,0.57,0,0,0,0,,,,0.75
Bedford 0.6 NNE,-97.131,32.85,-97.131,0.02,0,0.16,0.52,0,0,,,,,,0.7
Bee Cave 1 ESE,-97.93,30.3,-97.93,Aug 25-28 12z,,,,,,,,,,,6.72
Bee Cave 2.5 ENE,-97.9165,30.32,-97.9165,0,1.15,3.19,0.7,0.02,0,0,0,,,,5.06
Bee Cave 4 SSE,-97.92,30.26,-97.92,Aug 25-28 12z,,,,,,,,,,,4.35
Beeville 4.5 NW,-97.8038,28.45,-97.8038,2.7,,,0.04,0.1,0,0,0,,,,2.84
Beeville 9.0 S,-97.7601,28.28,-97.7601,0.11,2.27,0.74,0.25,0.02,0,0,0,,,,3.39
Beeville 12.6 NNE,-97.7006,28.58,-97.7006,0.02,3.1,1.02,0.9,,,,,,,,5.04
Bellaire 4.2 W,-95.53,29.7,-95.53,0.02,2.44,10.87,6.77,6.48,0.49,0,0,,,,27.07
BELLVILLE                     ,-96.2,30.02,-96.2,,,,,0.78,,0,,,,,0.78
Bellville 0.4 NE,-96.2544,29.95,-96.2544,0.57,4.89,7.68,10.65,0.87,0,0,0,,,,24.66
Bellville 0.9 ENE,-96.2452,29.95,96.2452,0.46,4.7,6.7,10.39,0.88,0.02,0,,,,,23.15
Bellville 6.5 NNE,-96.2209,30.03,-96.2209,0.13,3.32,4.91,8.61,0.82,0.02,0,0,,,,17.81
BELTON                   5 WSW,-97.53,31.02,-97.53,0,0.22,1.22,0.44,0,,,,,,,1.88
Belton 0.4 E,-97.4564,31.07,-97.4564,0,0.04,1.13,0.38,0.01,0,0,0,,,,1.56
Belton 1.4 WSW,-97.4847,31.06,-97.4847,0,0.22,,,0,,0,0,,,,0.22
Belton 1.6 W,-97.4912,31.06,-97.4912,0,0.18,1.01,,0,,0,0,,,,1.19
Belton 2.3 NNW,-97.4816,31.1,-97.4816,0,0.02,1.05,0.44,0,0,0,0,,,,1.51
Belton 3.9 N,-97.4733,31.12,-97.4733,0,0.02,1.11,0.43,0.01,0,0,0,,,,1.57
Belton 4.4 WNW,-97.5319,31.09,-97.5319,0.02,0,1.12,0.4,0.02,0,0,0,,,,1.56
Belton 5.4 NW,-97.5284,31.12,-97.5284,0,0.01,0.95,0.51,0,0,0,0,,,,1.47
Belton 6.0 N,-97.4753,31.15,-97.4753,0.21,0.23,0.86,0.55,0.02,0,,0,,,,1.87
